epoch,loss,train_correct,test_correct
0,2.639537900686264,0,0
1,2.3862162679433823,0,0
2,2.3823482543230057,0,0
3,2.3810575008392334,0,0
4,2.382207527756691,0,0
5,2.380055844783783,0,0
6,2.3820120692253113,0,0
7,2.3799654692411423,0,0
8,2.380678668618202,0,0
9,2.379005268216133,0,0
10,2.380312517285347,0,0
11,2.377760276198387,0,0
12,2.3774200826883316,0,0
13,2.373101830482483,0,0
14,2.3709171414375305,0,0
15,2.3667526096105576,0,0
16,2.3707976192235947,0,0
17,2.361285701394081,0,0
18,2.361701786518097,0,0
19,2.357118710875511,0,0
20,2.3518958389759064,0,0
21,2.3554091453552246,0,0
22,2.355728432536125,0,0
23,2.3474712669849396,0,0
24,2.3433524072170258,0,0
25,2.3398583978414536,0,0
26,2.330843150615692,0,0
27,2.329884871840477,0,0
28,2.3144358694553375,0,0
29,2.3125209361314774,0,0
30,2.305928662419319,0,0
31,2.277470514178276,0,0
32,2.2589732706546783,0,0
33,2.217632234096527,0,0
34,2.2151241302490234,502,0
35,2.091422274708748,2480,0
36,2.0683625787496567,4197,1
37,2.0161591321229935,5203,26
38,2.013274997472763,6347,26
39,1.9660144001245499,7578,0
40,2.0223577469587326,5848,0
41,1.9901238828897476,5354,26
42,1.8969505578279495,7788,1
43,1.8907876163721085,6921,0
44,1.9084107279777527,6557,27
45,1.8561426252126694,8191,15
46,1.9970295876264572,5092,22
47,1.847465768456459,7348,23
48,1.821223959326744,7663,18
49,1.826920673251152,7552,20
50,1.8048135638237,8351,22
51,1.8033673018217087,8061,20
52,1.7667138874530792,9162,22
53,1.7873575389385223,8573,20
54,1.7657898664474487,9271,20
55,1.7852795273065567,8622,20
56,1.7386661767959595,10838,26
57,1.752384975552559,10600,17
58,1.7682691663503647,8894,18
59,1.719690427184105,11966,26
60,1.7661880850791931,9991,17
61,1.7251186072826385,10883,25
62,1.7453078478574753,9682,15
63,1.7568787634372711,9401,16
64,1.7233949154615402,11831,29
65,1.738563358783722,11023,20
66,1.7408974468708038,9904,17
67,1.7368370592594147,10760,23
68,1.7312642186880112,11956,22
69,1.7267669141292572,11152,22
70,1.7451806366443634,9873,16
71,1.7411067336797714,10252,27
72,1.6888826191425323,14119,29
73,1.7201618254184723,12164,21
74,1.724190667271614,10852,19
75,1.7339897006750107,10521,20
76,1.7159483581781387,11791,22
77,1.7238191366195679,10751,19
78,1.7002812623977661,12490,20
79,1.7181456834077835,10980,17
80,1.7273629307746887,10606,19
81,1.688270851969719,13381,19
82,1.7132458537817001,11189,22
83,1.6983790844678879,12051,19
84,1.7262016981840134,10270,20
85,1.7096586227416992,11458,7
86,1.7042877525091171,11639,22
87,1.6909048110246658,12597,9
88,1.6911319494247437,11802,16
89,1.6964176297187805,11471,29
90,1.6659670323133469,12909,20
91,1.655955359339714,12670,31
