epoch,loss,train_correct,test_correct
0,2.612719476222992,0,0
1,2.397691488265991,0,0
2,2.3832675963640213,0,0
3,2.385860949754715,0,0
4,2.382301554083824,0,0
5,2.38059239089489,0,0
6,2.379624515771866,0,0
7,2.3809496611356735,0,0
8,2.3782751113176346,0,0
9,2.3788047581911087,0,0
10,2.371409833431244,0,0
11,2.381561204791069,0,0
12,2.3729774802923203,0,0
13,2.3775120079517365,0,0
14,2.36614790558815,0,0
15,2.3725909739732742,0,0
16,2.365543007850647,0,0
17,2.3748779743909836,0,0
18,2.3641348630189896,0,0
19,2.3635005354881287,0,0
20,2.3605838865041733,0,0
21,2.35968117415905,0,0
22,2.3540761172771454,0,0
23,2.3572890013456345,0,0
24,2.355002745985985,0,0
25,2.3587916791439056,0,0
26,2.3531362414360046,0,0
27,2.353334903717041,0,0
28,2.3434237390756607,0,0
29,2.3433678597211838,0,0
30,2.3532560020685196,0,0
31,2.3353057205677032,0,0
32,2.3440717607736588,0,0
33,2.334610730409622,0,0
34,2.3258315920829773,0,0
35,2.323556527495384,0,0
36,2.3057791888713837,0,0
37,2.301280155777931,0,0
38,2.2751679718494415,0,0
39,2.2636644542217255,0,0
40,2.222159057855606,0,0
41,2.2069609612226486,114,0
42,2.190047487616539,1276,0
43,2.0981139093637466,4073,0
44,2.126345694065094,2095,26
45,2.198224812746048,3597,0
46,2.001933142542839,5528,23
47,1.943740889430046,8099,0
48,1.990157425403595,5929,8
49,1.9128976166248322,6928,25
50,1.91184201836586,8562,22
51,1.9784108251333237,5485,27
52,1.8470714837312698,9710,25
53,1.8620537519454956,6980,21
54,1.8301189243793488,8924,19
55,1.876475676894188,7015,21
56,1.8273262977600098,8602,8
57,1.8190098702907562,7457,8
58,1.8094754070043564,7492,10
59,1.7962464839220047,8770,15
60,1.7954920530319214,8888,21
61,1.7904114872217178,8162,23
62,1.7738438248634338,9724,15
63,1.7553272545337677,9197,16
64,1.7790484726428986,9299,24
65,1.761919915676117,9740,26
66,1.703695073723793,13068,24
67,1.7471617460250854,9376,19
68,1.748843252658844,9422,25
69,1.7449547499418259,9754,19
70,1.7420357763767242,10018,23
71,1.7409547716379166,9777,23
72,1.7324629724025726,9804,22
73,1.7048470824956894,12313,31
74,1.7247492671012878,12439,26
75,1.715125948190689,11530,26
76,1.7164638042449951,11335,24
77,1.7188942581415176,10672,24
78,1.71809022128582,10853,21
79,1.6978448927402496,12666,29
80,1.6631525456905365,15048,15
81,1.723280429840088,10444,20
82,1.7159603983163834,11117,29
83,1.6991944015026093,12023,19
84,1.6912801861763,12400,9
85,1.7072684019804,11019,21
86,1.6516211181879044,14514,30
87,1.641220897436142,15470,32
88,1.7401964515447617,10773,27
89,1.6895651519298553,12756,19
90,1.719131126999855,11502,29
91,1.6866205036640167,12838,23
92,1.6609832793474197,12548,29
93,1.6544864922761917,13124,19
94,1.6831094026565552,11282,25
95,1.657299131155014,12586,22
96,1.6697086095809937,11642,25
97,1.632654756307602,13610,28
98,1.704865723848343,11971,18
99,1.6661023199558258,10964,19
100,1.6808354705572128,9908,14
101,1.669006124138832,11102,25
102,1.6060366779565811,13503,23
103,1.6178655922412872,12144,27
104,1.6457205563783646,11732,30
105,1.6047527194023132,12322,22
106,1.595721647143364,11085,29
107,1.5604735314846039,11665,28
108,1.6316365450620651,11383,12
109,1.5409139543771744,10182,0
110,1.653771087527275,9800,22
111,1.5294946730136871,11249,20
112,1.5453781336545944,9161,1
113,1.5599111467599869,7459,2
114,1.5154297053813934,7378,28
115,1.4224200248718262,10091,19
116,1.4461019784212112,8471,27
