epoch,loss,train_correct,test_correct
0,2.574678748846054,0,0
1,2.38202865421772,0,0
2,2.379860758781433,0,0
3,2.3820941001176834,0,0
4,2.3795861154794693,0,0
5,2.3812812715768814,0,0
6,2.3787797391414642,0,0
7,2.3812720477581024,0,0
8,2.3782554268836975,0,0
9,2.3795865327119827,0,0
10,2.3769764453172684,0,0
11,2.3779635578393936,0,0
12,2.3732778131961823,0,0
13,2.3686490952968597,0,0
14,2.37164306640625,0,0
15,2.3671409338712692,0,0
16,2.3559168577194214,0,0
17,2.357169359922409,0,0
18,2.3564099818468094,0,0
19,2.346596971154213,0,0
20,2.3466778695583344,0,0
21,2.347144737839699,0,0
22,2.3411730378866196,0,0
23,2.3381234854459763,0,0
24,2.3307175785303116,0,0
25,2.324610397219658,0,0
26,2.318941116333008,0,0
27,2.3067322075366974,0,0
28,2.289743661880493,0,0
29,2.26604962348938,0,0
30,2.23460990190506,0,0
31,2.204361140727997,0,0
32,2.124768853187561,558,23
33,2.078549012541771,5919,29
34,2.0706824213266373,7841,30
35,2.059876471757889,7283,14
36,2.045236185193062,6735,28
37,2.0272542387247086,8035,0
38,1.9977798759937286,6622,27
39,2.0099248439073563,6590,7
40,1.9558984488248825,8162,29
41,1.9640595018863678,6408,0
42,1.958949476480484,5908,10
43,1.884909138083458,7095,24
44,1.9083678871393204,5939,29
45,1.809354305267334,7665,0
46,1.8516078740358353,5385,27
47,1.7562275528907776,5059,6
48,1.846216157078743,2172,0
49,1.699714943766594,4708,0
50,1.6668521016836166,3449,18
51,1.6876557916402817,3973,24
52,1.6870511323213577,2141,11
53,1.661415934562683,2890,0
54,1.5976007729768753,2434,0
55,1.5631064474582672,3137,0
56,1.6500179469585419,535,2
57,1.592162847518921,1031,5
58,1.5482890456914902,1781,25
59,1.5010154992341995,2672,0
60,1.4834088757634163,4218,0
61,1.5207558944821358,1924,0
62,1.4382481053471565,3339,0
63,1.4690759852528572,2229,7
64,1.4475153759121895,2465,15
65,1.4359633922576904,4045,12
66,1.3526460379362106,3400,0
67,1.4157536998391151,4237,6
68,1.3510623276233673,10178,11
69,1.3452299609780312,14894,30
70,1.3270202279090881,18014,27
71,1.3253178298473358,18626,30
72,1.3332320004701614,18478,30
73,1.3250174224376678,17974,31
74,1.3623739182949066,18054,32
75,1.3455260321497917,17594,32
76,1.2263558432459831,20592,30
77,1.2615779414772987,19264,57
78,1.2270016744732857,19737,30
79,1.2124037966132164,19645,32
80,1.2640770077705383,18794,30
81,1.2655502259731293,19016,52
82,1.1833448931574821,19529,32
83,1.1837341263890266,20134,32
84,1.1614773347973824,20633,51
85,1.1691542938351631,18987,42
86,1.1401343047618866,20713,31
87,1.1732455864548683,19616,32
88,1.1946313753724098,19577,32
89,1.153712771832943,19157,32
90,1.1141482293605804,21601,51
91,1.101408176124096,21012,32
92,1.1265018731355667,20497,32
93,1.1305831968784332,19780,44
94,1.0767932832241058,21556,32
95,1.1206655725836754,20376,55
96,1.0585714653134346,22160,37
97,1.108212485909462,20134,51
98,1.0103664994239807,22986,61
